product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost
FUR-FU-10001746,Furniture,Furnishings,"Advantus Stacking Tray, Durable",118.665,6,0.25,18.945,24.73
OFF-BI-10001326,Office Supplies,Binders,"Cardinal Binder, Recycled",85.14,6,0.0,21.24,15.08
FUR-BO-10001370,Furniture,Bookcases,"Sauder Classic Bookcase, Mobile",263.106,1,0.4,-122.784,62.84
OFF-SME-10004553,Office Supplies,Storage,"Smead Lockers, Blue",79.368,1,0.6,-85.332,5.84
OFF-AR-10002115,Office Supplies,Art,"Boston Canvas, Fluorescent",73.2,2,0.0,25.6,10.06
OFF-ENE-10001291,Office Supplies,Paper,"Enermax Computer Printout Paper, Premium",8.541,1,0.7,-6.279,1.21
OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,40.752,3,0.2,15.282,2.49
OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",443.92,5,0.2,-94.333,54.44
TEC-SAM-10003493,Technology,Phones,"Samsung Signal Booster, VoIP",136.68,1,0.0,46.47,17.04
TEC-CO-10002700,Technology,Copiers,"Hewlett Fax and Copier, Digital",204.83064,2,0.202,40.55064,40.05
TEC-CO-10003608,Technology,Copiers,"Canon Fax Machine, Color",1279.32,8,0.5,-639.72,75.13
OFF-EN-10003933,Office Supplies,Envelopes,"Kraft Manila Envelope, Security-Tint",86.67,3,0.0,6.93,3.09
OFF-SU-10000452,Office Supplies,Supplies,"Fiskars Letter Opener, Steel",147.78,10,0.4,-73.92,8.69
OFF-FA-10002790,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",80.46,6,0.0,40.14,11.83
OFF-PA-10003808,Office Supplies,Paper,"SanDisk Note Cards, Premium",37.476,2,0.4,-8.124,1.75
OFF-BI-10004716,Office Supplies,Binders,Wilson Jones Hanging Recycled Pressboard Data Binders,8.904,2,0.7,-6.5296,3.31
FUR-BO-10002824,Furniture,Bookcases,Bush Mission Pointe Library,205.3328,2,0.32,-36.2352,24.37
OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings,5.104,4,0.8,-8.6768,0.48
TEC-PH-10001536,Technology,Phones,Spigen Samsung Galaxy S5 Case Wallet,16.99,1,0.0,4.4174,1.79
OFF-BI-10001967,Office Supplies,Binders,"Acco Binder, Recycled",46.53,3,0.0,1.8,3.9
OFF-SU-10001368,Office Supplies,Supplies,"Fiskars Ruler, Serrated",22.26,3,0.0,9.3,1.75
OFF-BI-10001132,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",6.456,4,0.7,-4.5192,0.78
OFF-AVE-10001367,Office Supplies,Labels,"Avery Legal Exhibit Labels, Alphabetical",11.16,1,0.0,2.43,1.79
TEC-AC-10001666,Technology,Accessories,"Memorex Numeric Keypad, Erganomic",373.68,8,0.0,59.76,55.85
FUR-DAN-10001584,Furniture,Bookcases,"Dania Stackable Bookrack, Pine",496.44,4,0.0,228.36,28.73
OFF-EN-10003484,Office Supplies,Envelopes,"Ames Clasp Envelope, Recycled",6.0,1,0.0,1.26,1.03
FUR-CH-10001726,Furniture,Chairs,"Office Star Steel Folding Chair, Adjustable",593.46,7,0.1,250.53,37.46
OFF-AP-10004140,Office Supplies,Appliances,"Breville Stove, Silver",1518.183,3,0.1,252.963,61.73
OFF-GRE-10003334,Office Supplies,Paper,"Green Bar Parchment Paper, 8.5 x 11",20.82,1,0.0,8.52,3.73
OFF-LA-10001833,Office Supplies,Labels,"Hon Shipping Labels, Alphabetical",33.57,3,0.0,15.03,4.02
TEC-AC-10003725,Technology,Accessories,"Memorex Flash Drive, Erganomic",54.42,5,0.4,-4.58,3.22
OFF-SME-10000335,Office Supplies,Storage,"Smead Box, Wire Frame",59.04,6,0.0,9.9,5.39
OFF-BI-10000962,Office Supplies,Binders,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",32.54,2,0.0,15.9446,9.1
OFF-BIC-10001510,Office Supplies,Art,"BIC Pencil Sharpener, Easy-Erase",29.28,1,0.0,1.44,1.57
